"","Vial","Cl_Treatment","Initial_SRP_ugL","Initial_SRP_mgL","Solution_Volume_mL","Mass_sediment_fresh_g","MC_frac","Final_SRP_ugL","Final_SRP_mgL","drymass_g","deltaSRPconc","deltaSRPmass","deltaP","Solution_Volume_L"
"1",1,0,0,0,40,40,0.865214858,176.2,0.1762,5.39140568,-0.1762,-4.405,-0.817041094930181,0.04
"2",2,0,20,0.02,40,39.98,0.865214858,194.92,0.19492,5.38870997716,-0.17492,-4.373,-0.811511478356587,0.04
"3",3,0,40,0.04,40,39.96,0.865214858,155.14,0.15514,5.38601427432,-0.11514,-2.8785,-0.534439727299724,0.04
"4",4,0,80,0.08,40,39.92,0.865214858,180.88,0.18088,5.38062286864,-0.10088,-2.522,-0.46871896833711,0.04
"5",5,0,160,0.16,40,39.84,0.865214858,155.14,0.15514,5.36984005728,0.00486,0.1215,0.0226263722390167,0.04
"6",6,0,320,0.32,40,39.68,0.865214858,192.58,0.19258,5.34827443456,0.12742,3.1855,0.595612667034366,0.04
"7",7,50,0,0,40,40,0.865214858,180.88,0.18088,5.39140568,-0.18088,-4.522,-0.838742299948758,0.04
"8",8,50,20,0.02,40,39.98,0.865214858,166.84,0.16684,5.38870997716,-0.14684,-3.671,-0.681239112061978,0.04
"9",10,50,80,0.08,40,39.92,0.865214858,173.86,0.17386,5.38062286864,-0.09386,-2.3465,-0.436101926726022,0.04
"10",12,50,320,0.32,40,39.68,0.865214858,173.86,0.17386,5.34827443456,0.14614,3.6535,0.683117525980241,0.04
"11",13,100,0,0,40,40,0.865214858,190.24,0.19024,5.39140568,-0.19024,-4.756,-0.882144709985912,0.04
"12",14,100,20,0.02,40,39.98,0.865214858,169.18,0.16918,5.38870997716,-0.14918,-3.7295,-0.692095142586529,0.04
"13",15,100,40,0.04,40,39.96,0.865214858,183.22,0.18322,5.38601427432,-0.14322,-3.5805,-0.664777294978864,0.04
"14",16,100,80,0.08,40,39.92,0.865214858,183.22,0.18322,5.38062286864,-0.10322,-2.5805,-0.479591315540805,0.04
"15",17,100,160,0.16,40,39.84,0.865214858,173.86,0.17386,5.36984005728,-0.01386,-0.3465,-0.064527061570529,0.04
"16",18,100,320,0.32,40,39.68,0.865214858,173.86,0.17386,5.34827443456,0.14614,3.6535,0.683117525980241,0.04
"17",19,500,0,0,40,40,0.865214858,159.82,0.15982,5.39140568,-0.15982,-3.9955,-0.741086877365162,0.04
"18",20,500,20,0.02,40,39.98,0.865214858,171.52,0.17152,5.38870997716,-0.15152,-3.788,-0.702951173111079,0.04
"19",21,500,40,0.04,40,39.96,0.865214858,162.16,0.16216,5.38601427432,-0.12216,-3.054,-0.567024119219509,0.04
"20",22,500,80,0.08,40,39.92,0.865214858,171.52,0.17152,5.38062286864,-0.09152,-2.288,-0.425229579522326,0.04
"21",23,500,160,0.16,40,39.84,0.865214858,190.24,0.19024,5.36984005728,-0.03024,-0.756,-0.140786316153882,0.04
"22",24,500,320,0.32,40,39.68,0.865214858,169.18,0.16918,5.34827443456,0.15082,3.7705,0.70499374071671,0.04
"23",25,1000,0,0,40,40,0.865214858,178.54,0.17854,5.39140568,-0.17854,-4.4635,-0.82789169743947,0.04
"24",26,1000,20,0.02,40,39.98,0.865214858,183.22,0.18322,5.38870997716,-0.16322,-4.0805,-0.757231325733833,0.04
"25",27,1000,40,0.04,40,39.96,0.865214858,173.86,0.17386,5.38601427432,-0.13386,-3.3465,-0.621331439085817,0.04
"26",28,1000,80,0.08,40,39.92,0.865214858,180.88,0.18088,5.38062286864,-0.10088,-2.522,-0.46871896833711,0.04
"27",29,1000,160,0.16,40,39.84,0.865214858,166.84,0.16684,5.36984005728,-0.00683999999999998,-0.171,-0.0318445238919493,0.04
"28",30,1000,320,0.32,40,39.68,0.865214858,211.3,0.2113,5.34827443456,0.1087,2.7175,0.508107808088492,0.04
